max_phase,molecule_chembl_id,pref_name
,CHEMBL607449,
,CHEMBL607451,
,CHEMBL606783,
,CHEMBL606784,
,CHEMBL606834,
,CHEMBL606838,
,CHEMBL606937,
,CHEMBL606938,
,CHEMBL1189670,
,CHEMBL1189788,
,CHEMBL1190143,
,CHEMBL1190519,
,CHEMBL1193750,
,CHEMBL1193755,
,CHEMBL1193956,
,CHEMBL1193957,
,CHEMBL1194162,
,CHEMBL1194164,
,CHEMBL1194940,
,CHEMBL1195820,
,CHEMBL1195822,
,CHEMBL1195837,
,CHEMBL1195917,
,CHEMBL1196092,
,CHEMBL2109984,
,CHEMBL2109985,
,CHEMBL2368719,
,CHEMBL2374421,
,CHEMBL274099,
,CHEMBL20730,VESAMICOL
,CHEMBL47251,
,CHEMBL46596,
,CHEMBL46463,
,CHEMBL274585,
,CHEMBL64511,
,CHEMBL291879,
,CHEMBL418132,
,CHEMBL64556,
,CHEMBL63322,
,CHEMBL62404,
,CHEMBL63215,
,CHEMBL292477,
,CHEMBL63010,
,CHEMBL75678,
,CHEMBL77204,
,CHEMBL80656,
,CHEMBL308098,
,CHEMBL76528,
,CHEMBL308304,
,CHEMBL431775,
,CHEMBL413057,
,CHEMBL76564,
,CHEMBL312254,
,CHEMBL308818,
,CHEMBL77289,
,CHEMBL308185,
,CHEMBL419656,
,CHEMBL308980,
,CHEMBL74665,
,CHEMBL77286,
,CHEMBL77352,
,CHEMBL80397,
,CHEMBL77120,
,CHEMBL312576,
,CHEMBL310499,
,CHEMBL311451,
,CHEMBL306768,
,CHEMBL101607,
,CHEMBL101300,
,CHEMBL103157,
,CHEMBL100789,
,CHEMBL317354,
,CHEMBL430466,
,CHEMBL321289,
,CHEMBL106910,
,CHEMBL324418,
,CHEMBL107870,
,CHEMBL107922,
,CHEMBL324620,
,CHEMBL107485,
,CHEMBL108972,
,CHEMBL109026,
,CHEMBL107720,
,CHEMBL325320,
,CHEMBL321702,
,CHEMBL323476,
,CHEMBL110099,
,CHEMBL107717,
,CHEMBL111331,
,CHEMBL338469,
,CHEMBL126742,
,CHEMBL338140,
,CHEMBL340815,
,CHEMBL341139,
,CHEMBL128717,
,CHEMBL127720,
,CHEMBL338781,
,CHEMBL128860,
,CHEMBL341003,
,CHEMBL128799,
,CHEMBL342942,
,CHEMBL165848,
,CHEMBL163876,
,CHEMBL164124,
,CHEMBL162422,
,CHEMBL186350,
,CHEMBL188713,
,CHEMBL1178012,
,CHEMBL1191092,
,CHEMBL1191310,
,CHEMBL1191381,
,CHEMBL1191655,
,CHEMBL1191933,
,CHEMBL1192403,
,CHEMBL1192557,
