molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,value
CHEMBL106437,,CHEMBL106437,8.89,1.3
CHEMBL20377,,CHEMBL20377,8.70,2.0
CHEMBL349288,,CHEMBL349288,8.28,5.3
CHEMBL337818,,CHEMBL337818,8.76,1.75
CHEMBL342223,,CHEMBL342223,8.83,1.48
CHEMBL339281,,CHEMBL339281,7.76,17.49
CHEMBL545212,,CHEMBL1193750,8.76,-8.76
CHEMBL555890,,CHEMBL1196092,8.85,-8.85
CHEMBL315146,,CHEMBL315146,7.68,21.0
CHEMBL340185,,CHEMBL340185,8.07,8.5
CHEMBL539260,,CHEMBL1189670,8.37,-8.37
CHEMBL60542,(+)-PENTAZOCINE,CHEMBL60542,8.51,3.1
CHEMBL87414,,CHEMBL87414,7.60,25.0
CHEMBL162522,,CHEMBL162522,8.24,5.81
CHEMBL555401,,CHEMBL1195822,8.59,-8.59
CHEMBL541052,,CHEMBL1190519,8.70,-8.7
CHEMBL545447,,CHEMBL1193956,8.46,-8.46
CHEMBL545689,,CHEMBL1194164,8.18,-8.18
CHEMBL555398,,CHEMBL1195820,8.33,-8.33
CHEMBL20377,,CHEMBL20377,8.68,2.1
CHEMBL422020,,CHEMBL422020,8.12,7.6
CHEMBL555581,,CHEMBL1195917,8.67,-8.67
CHEMBL106437,,CHEMBL106437,8.11,7.78
CHEMBL337929,,CHEMBL337929,7.02,95.69
CHEMBL134313,,CHEMBL134313,8.87,1.34
CHEMBL136981,,CHEMBL136981,8.57,2.67
CHEMBL54,HALOPERIDOL,CHEMBL54,8.43,3.7
CHEMBL162807,,CHEMBL162807,9.24,0.58
CHEMBL137794,,CHEMBL137794,8.45,3.56
CHEMBL138123,,CHEMBL138123,7.79,16.05
CHEMBL316988,,CHEMBL316988,7.73,18.68
CHEMBL545217,,CHEMBL1193755,8.40,-8.4
CHEMBL339863,,CHEMBL339863,7.51,30.89
CHEMBL542390,,CHEMBL185841,7.67,-7.67
CHEMBL343790,,CHEMBL343790,8.36,4.34
CHEMBL340816,,CHEMBL340816,7.47,34.1
CHEMBL540274,,CHEMBL1190143,9.49,-9.49
CHEMBL553561,,CHEMBL1194940,8.64,-8.64
CHEMBL545687,,CHEMBL1194162,7.96,-7.96
CHEMBL137348,,CHEMBL137348,8.64,2.3
CHEMBL554388,,CHEMBL1195353,8.15,-8.15
CHEMBL544282,,CHEMBL1192959,8.20,-8.2
CHEMBL544280,,CHEMBL1192957,7.01,-7.01
CHEMBL544747,,CHEMBL1193356,8.06,-8.06
CHEMBL341139,,CHEMBL341139,8.74,1.8
CHEMBL162422,,CHEMBL162422,8.85,1.4
CHEMBL544987,,CHEMBL1193560,8.66,-8.66
CHEMBL282433,DITOLYLGUANIDINE,CHEMBL282433,7.56,27.7
CHEMBL20730,VESAMICOL,CHEMBL20730,7.58,26.0
CHEMBL543101,,CHEMBL1191933,8.34,-8.34
CHEMBL544281,,CHEMBL1192958,8.93,-8.93
CHEMBL541299,,CHEMBL188713,8.12,-8.12
CHEMBL545688,,CHEMBL1194163,8.73,-8.73
CHEMBL543810,,CHEMBL1192557,8.61,-8.61
CHEMBL553265,,CHEMBL1194757,9.60,-9.6
CHEMBL554988,,CHEMBL186350,7.78,-7.78
CHEMBL544748,,CHEMBL1193357,8.69,-8.69
CHEMBL542387,,CHEMBL1191310,7.09,-7.09
CHEMBL342942,,CHEMBL342942,8.43,3.69
CHEMBL165848,,CHEMBL165848,9.41,0.39
CHEMBL126742,,CHEMBL126742,7.39,40.4
CHEMBL163876,,CHEMBL163876,9.33,0.47
CHEMBL164124,,CHEMBL164124,9.34,0.46
CHEMBL545682,,CHEMBL1194157,8.74,-8.74
CHEMBL542140,,CHEMBL1191092,7.78,-7.78
CHEMBL2093874,,CHEMBL2109983,8.51,-8.51
CHEMBL20377,,CHEMBL20377,8.68,2.1
CHEMBL543632,,CHEMBL1192403,7.54,28.7
CHEMBL54,HALOPERIDOL,CHEMBL54,8.43,3.7
CHEMBL282433,DITOLYLGUANIDINE,CHEMBL282433,7.56,27.7
CHEMBL107870,,CHEMBL107870,8.10,8.0
CHEMBL46596,,CHEMBL46596,8.92,1.2
CHEMBL321702,,CHEMBL321702,7.39,40.7
CHEMBL47251,,CHEMBL47251,7.89,13.0
CHEMBL274585,,CHEMBL274585,9.17,0.67
CHEMBL60542,(+)-PENTAZOCINE,CHEMBL60542,8.51,3.1
CHEMBL46463,,CHEMBL46463,8.00,10.0
CHEMBL107485,,CHEMBL107485,7.27,54.0
CHEMBL109026,,CHEMBL109026,8.83,1.49
CHEMBL324620,,CHEMBL324620,7.86,13.8
CHEMBL323476,,CHEMBL323476,7.11,77.5
CHEMBL111331,,CHEMBL111331,7.52,29.9
CHEMBL308980,,CHEMBL308980,7.75,18.0
CHEMBL80656,,CHEMBL80656,7.57,27.0
CHEMBL542786,,CHEMBL1191655,7.47,34.0
CHEMBL341003,,CHEMBL341003,8.02,9.5
CHEMBL1744017,,CHEMBL63010,8.69,-8.69
CHEMBL77286,,CHEMBL77286,8.28,5.22
CHEMBL308098,,CHEMBL308098,8.70,2.0
CHEMBL101300,,CHEMBL101300,7.71,19.6
CHEMBL77352,,CHEMBL77352,8.14,7.28
CHEMBL431775,,CHEMBL431775,8.54,2.89
CHEMBL54,HALOPERIDOL,CHEMBL54,8.60,2.53
CHEMBL128799,,CHEMBL128799,8.35,4.5
CHEMBL553962,,CHEMBL1195151,8.82,1.5
CHEMBL308185,,CHEMBL308185,8.40,4.0
CHEMBL64511,,CHEMBL64511,7.95,-7.95
CHEMBL1744014,,CHEMBL63215,8.56,-8.56
CHEMBL306768,,CHEMBL306768,8.61,2.45
CHEMBL1743991,,CHEMBL291879,8.26,-8.26
CHEMBL77289,,CHEMBL77289,8.38,4.21
CHEMBL545760,,CHEMBL1194228,8.00,10.0
CHEMBL128717,,CHEMBL128717,8.24,5.7
CHEMBL310499,,CHEMBL310499,8.46,3.43
CHEMBL74665,,CHEMBL74665,7.85,14.2
CHEMBL101300,,CHEMBL101300,8.42,3.81
CHEMBL128860,,CHEMBL128860,8.68,2.1
CHEMBL1788383,,CHEMBL292477,9.14,-9.14
CHEMBL308304,,CHEMBL308304,7.18,66.4
CHEMBL77120,,CHEMBL77120,7.52,30.1
CHEMBL317354,,CHEMBL317354,7.98,10.4
CHEMBL542470,,CHEMBL1191381,7.52,30.0
CHEMBL1744001,,CHEMBL63322,8.54,-8.54
CHEMBL312254,,CHEMBL312254,8.12,7.63
CHEMBL274099,,CHEMBL274099,7.22,59.7
CHEMBL101607,,CHEMBL101607,7.74,18.4
CHEMBL1743997,,CHEMBL64556,7.74,-7.74
CHEMBL1744010,,CHEMBL62404,8.32,-8.32
CHEMBL308818,,CHEMBL308818,8.50,3.17
CHEMBL77204,,CHEMBL77204,8.30,5.0
CHEMBL75678,,CHEMBL75678,9.00,1.0
CHEMBL103157,,CHEMBL103157,7.52,30.5
CHEMBL1743995,,CHEMBL418132,8.17,-8.17
CHEMBL76564,,CHEMBL76564,8.51,3.08
CHEMBL413057,,CHEMBL413057,8.19,6.46
CHEMBL80397,,CHEMBL80397,8.13,7.32
CHEMBL311451,,CHEMBL311451,7.49,32.1
CHEMBL127720,,CHEMBL127720,7.92,12.0
CHEMBL1743994,,CHEMBL64840,8.20,-8.2
CHEMBL1744013,,CHEMBL64470,7.16,-7.16
CHEMBL80968,,CHEMBL80968,7.92,12.0
CHEMBL330601,,CHEMBL330601,8.80,1.57
CHEMBL103156,,CHEMBL103156,8.33,4.68
CHEMBL1744004,,CHEMBL61005,7.79,-7.79
CHEMBL1256916,,CHEMBL303336,8.42,-8.42
CHEMBL77206,,CHEMBL77206,8.30,5.0
CHEMBL318877,,CHEMBL318877,9.17,0.67
CHEMBL103157,,CHEMBL103157,8.83,1.48
CHEMBL127899,,CHEMBL127899,8.10,8.0
CHEMBL540331,,CHEMBL1190190,8.74,1.8
CHEMBL76802,,CHEMBL76802,7.19,63.9
CHEMBL307444,,CHEMBL307444,7.05,90.0
CHEMBL1788382,,CHEMBL418310,8.93,-8.93
CHEMBL60542,(+)-PENTAZOCINE,CHEMBL60542,8.51,3.1
CHEMBL1744008,,CHEMBL63110,7.99,-7.99
CHEMBL1744011,,CHEMBL423664,8.17,-8.17
CHEMBL312631,,CHEMBL312631,7.51,30.8
CHEMBL76864,,CHEMBL76864,8.85,1.4
CHEMBL1036,HYDROXYHALOPERIDOL,CHEMBL1036,7.84,14.34
CHEMBL76475,,CHEMBL76475,8.10,8.0
CHEMBL430444,,CHEMBL430444,7.55,28.0
CHEMBL76927,,CHEMBL76927,7.75,18.0
CHEMBL1743998,,CHEMBL64607,8.26,-8.26
CHEMBL1744015,,CHEMBL62126,8.82,-8.82
CHEMBL305728,,CHEMBL305728,7.57,26.9
CHEMBL276078,,CHEMBL276078,7.40,40.1
CHEMBL1788381,,CHEMBL62540,8.92,-8.92
CHEMBL103319,,CHEMBL103319,7.95,11.3
CHEMBL421446,,CHEMBL421446,7.89,13.0
CHEMBL1743996,,CHEMBL444267,8.18,-8.18
CHEMBL1743992,,CHEMBL64346,7.85,-7.85
CHEMBL311622,,CHEMBL311622,8.34,4.56
CHEMBL560,,CHEMBL560,7.08,83.1
CHEMBL339638,,CHEMBL339638,8.05,9.0
CHEMBL340587,,CHEMBL340587,7.54,29.0
CHEMBL1744002,,CHEMBL302197,8.78,-8.78
CHEMBL1743993,,CHEMBL63162,8.02,-8.02
CHEMBL1744016,,CHEMBL292259,8.46,-8.46
CHEMBL306955,,CHEMBL306955,8.06,8.7
CHEMBL80326,,CHEMBL80326,7.10,80.0
CHEMBL311508,,CHEMBL311508,8.40,4.0
CHEMBL318877,,CHEMBL318877,7.44,36.5
CHEMBL62770,,CHEMBL62770,8.98,-8.98
CHEMBL1744003,,CHEMBL439751,8.85,-8.85
CHEMBL1743999,,CHEMBL60137,8.87,-8.87
CHEMBL76806,,CHEMBL76806,8.45,3.56
CHEMBL75816,,CHEMBL75816,7.57,27.1
CHEMBL101607,,CHEMBL101607,7.23,58.6
CHEMBL419343,,CHEMBL419343,8.25,5.68
CHEMBL77285,,CHEMBL77285,8.40,3.97
CHEMBL78059,,CHEMBL78059,8.24,5.8
CHEMBL75810,,CHEMBL75810,7.62,23.8
CHEMBL78067,,CHEMBL78067,8.15,7.0
CHEMBL102406,,CHEMBL102406,8.83,1.47
CHEMBL521582,,CHEMBL190883,8.89,1.3
CHEMBL521582,,CHEMBL190883,7.07,85.0
CHEMBL1744000,,CHEMBL61938,8.64,-8.64
CHEMBL262760,,CHEMBL262760,8.02,9.66
CHEMBL77405,,CHEMBL77405,9.06,0.87
CHEMBL77773,,CHEMBL77773,8.01,9.84
CHEMBL330601,,CHEMBL330601,7.58,26.4
CHEMBL103816,,CHEMBL103816,8.76,1.75
CHEMBL1744009,,CHEMBL62408,8.30,-8.3
CHEMBL1744006,,CHEMBL61338,8.23,-8.23
CHEMBL104042,,CHEMBL104042,7.68,21.0
CHEMBL1744005,,CHEMBL61337,8.50,-8.5
CHEMBL76895,,CHEMBL76895,8.41,3.9
CHEMBL318823,,CHEMBL318823,7.08,82.5
CHEMBL99854,,CHEMBL99854,7.73,18.5
CHEMBL1744012,,CHEMBL62116,7.13,-7.13
CHEMBL77953,,CHEMBL77953,8.41,3.92
CHEMBL307253,,CHEMBL307253,7.75,18.0
CHEMBL1744007,,CHEMBL62407,8.17,-8.17
CHEMBL311579,,CHEMBL311579,7.73,18.8
CHEMBL312692,,CHEMBL312692,7.98,10.5
CHEMBL308097,,CHEMBL308097,7.36,43.4
CHEMBL76849,,CHEMBL76849,8.15,7.0
CHEMBL309015,,CHEMBL309015,8.10,8.0
CHEMBL75860,,CHEMBL75860,7.66,22.0
CHEMBL276078,,CHEMBL276078,8.14,7.16
CHEMBL76547,,CHEMBL76547,8.41,3.87
CHEMBL110319,,CHEMBL110319,8.03,9.4
CHEMBL50465,,CHEMBL50465,8.49,3.2
CHEMBL141381,,CHEMBL141381,7.74,18.4
CHEMBL145296,,CHEMBL145296,8.10,7.9
CHEMBL54026,,CHEMBL54026,8.92,1.2
CHEMBL322468,,CHEMBL322468,7.18,65.3
CHEMBL143800,,CHEMBL143800,8.72,1.91
CHEMBL53078,,CHEMBL53078,8.96,1.1
CHEMBL54865,,CHEMBL54865,8.24,5.8
CHEMBL52835,,CHEMBL52835,7.24,57.0
CHEMBL146659,,CHEMBL146659,8.51,3.1
CHEMBL52300,,CHEMBL52300,7.23,59.0
CHEMBL54667,,CHEMBL54667,8.32,4.8
CHEMBL298864,,CHEMBL298864,7.02,96.0
CHEMBL146659,,CHEMBL146659,7.29,51.3
CHEMBL54571,,CHEMBL54571,8.60,2.5
CHEMBL146659,,CHEMBL146659,7.52,30.3
CHEMBL298759,,CHEMBL298759,8.40,4.0
CHEMBL53778,,CHEMBL53778,8.44,3.6
CHEMBL322468,,CHEMBL322468,8.49,3.2
CHEMBL110319,,CHEMBL110319,7.63,23.3
CHEMBL356639,,CHEMBL356639,8.79,1.62
CHEMBL358527,,CHEMBL358527,7.21,62.3
CHEMBL51959,,CHEMBL51959,8.25,5.6
CHEMBL53401,,CHEMBL53401,8.72,1.9
CHEMBL54,HALOPERIDOL,CHEMBL54,8.82,1.5
CHEMBL53650,,CHEMBL53650,7.25,56.0
CHEMBL53218,,CHEMBL53218,7.63,23.4
CHEMBL52588,,CHEMBL52588,7.13,74.0
CHEMBL51856,,CHEMBL51856,8.96,1.1
CHEMBL110319,,CHEMBL110319,8.89,1.3
CHEMBL141381,,CHEMBL141381,7.42,38.1
CHEMBL298875,,CHEMBL298875,8.23,5.9
CHEMBL301302,,CHEMBL301302,8.21,6.2
CHEMBL322468,,CHEMBL322468,7.50,32.0
CHEMBL54092,,CHEMBL54092,8.92,1.2
CHEMBL54662,,CHEMBL54662,7.78,16.7
CHEMBL50517,,CHEMBL50517,7.32,48.0
CHEMBL53070,,CHEMBL53070,7.85,14.0
CHEMBL143800,,CHEMBL143800,8.11,7.8
CHEMBL145422,,CHEMBL145422,8.77,1.71
CHEMBL542123,,CHEMBL1191079,7.31,49.0
CHEMBL143800,,CHEMBL143800,7.74,18.4
CHEMBL423122,,CHEMBL423122,7.16,69.0
CHEMBL301732,,CHEMBL301732,7.90,12.7
CHEMBL542368,,CHEMBL1191292,7.31,49.0
CHEMBL52298,,CHEMBL52298,7.55,28.0
CHEMBL54027,,CHEMBL54027,9.15,0.7
CHEMBL540283,,CHEMBL51146,7.43,37.0
CHEMBL416481,,CHEMBL416481,7.51,31.0
CHEMBL53038,,CHEMBL53038,7.68,20.7
CHEMBL145296,,CHEMBL145296,8.22,6.0
CHEMBL53320,,CHEMBL53320,8.77,1.7
CHEMBL51754,,CHEMBL51754,8.21,6.2
CHEMBL145780,,CHEMBL145780,7.78,16.6
CHEMBL145296,,CHEMBL145296,8.24,5.8
CHEMBL160817,,CHEMBL160817,7.21,61.0
CHEMBL95857,,CHEMBL95857,7.67,21.4
CHEMBL50880,,CHEMBL50880,7.04,92.0
CHEMBL20730,VESAMICOL,CHEMBL20730,7.58,26.0
CHEMBL50029,,CHEMBL50029,7.18,66.0
CHEMBL96777,,CHEMBL96777,8.56,2.72
CHEMBL53325,,CHEMBL53325,8.28,5.3
CHEMBL112574,,CHEMBL112574,8.55,2.8
CHEMBL2111684,,CHEMBL2111684,8.03,9.4
CHEMBL114477,,CHEMBL114477,8.27,5.4
CHEMBL54020,,CHEMBL54020,8.15,7.0
CHEMBL325262,,CHEMBL325262,7.72,19.2
CHEMBL97302,,CHEMBL97302,8.67,2.13
CHEMBL85879,,CHEMBL85879,8.59,2.6
CHEMBL94801,,CHEMBL94801,9.35,0.45
CHEMBL94844,,CHEMBL94844,7.35,44.5
CHEMBL325238,,CHEMBL325238,9.10,0.8
CHEMBL110319,,CHEMBL110319,7.63,23.3
CHEMBL420302,,CHEMBL420302,8.39,4.1
CHEMBL541347,,CHEMBL1190672,8.16,6.9
CHEMBL50239,,CHEMBL50239,7.33,46.5
CHEMBL113621,,CHEMBL113621,7.98,10.5
CHEMBL94950,,CHEMBL94950,8.51,3.07
CHEMBL300408,,CHEMBL300408,7.36,43.8
CHEMBL53938,,CHEMBL53938,7.54,29.0
CHEMBL115508,,CHEMBL115508,8.52,3.0
CHEMBL282433,DITOLYLGUANIDINE,CHEMBL282433,7.43,37.3
CHEMBL112125,,CHEMBL112125,8.54,2.9
CHEMBL113293,,CHEMBL113293,8.12,7.5
CHEMBL112037,,CHEMBL112037,8.40,4.0
CHEMBL97285,,CHEMBL97285,8.23,5.86
CHEMBL2111685,,CHEMBL2111685,7.50,32.0
CHEMBL421195,,CHEMBL421195,8.76,1.75
CHEMBL93442,,CHEMBL93442,8.98,1.04
CHEMBL54,HALOPERIDOL,CHEMBL54,7.98,10.4
CHEMBL112474,,CHEMBL112474,9.05,0.9
CHEMBL538057,,CHEMBL1189111,7.10,78.7
CHEMBL322468,,CHEMBL322468,7.18,65.3
CHEMBL112124,,CHEMBL112124,8.96,1.1
CHEMBL660,AMANTADINE,CHEMBL660,7.69,20.25
CHEMBL539310,,CHEMBL1189714,7.24,58.2
CHEMBL552794,,CHEMBL1194508,7.46,34.5
CHEMBL96524,,CHEMBL96524,7.99,10.3
CHEMBL54,HALOPERIDOL,CHEMBL54,8.38,4.2
CHEMBL111896,,CHEMBL111896,8.17,6.7
CHEMBL538300,,CHEMBL1189234,7.52,30.1
CHEMBL114510,,CHEMBL114510,7.13,74.0
CHEMBL542481,,CHEMBL1191390,7.74,18.2
CHEMBL543673,,CHEMBL1192438,7.54,28.5
CHEMBL541860,,CHEMBL1190923,7.69,20.6
CHEMBL542736,,CHEMBL1191614,7.76,17.3
CHEMBL543432,,CHEMBL1192227,7.70,20.0
CHEMBL542964,,CHEMBL1191815,7.37,42.8
CHEMBL543431,,CHEMBL1192226,7.50,31.8
CHEMBL542487,,CHEMBL1191395,8.35,4.5
