molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value
CHEMBL77953,,CHEMBL77953,8.41,Ki,nM,3.92,Ki,nM,3.92
CHEMBL307253,,CHEMBL307253,7.75,Ki,nM,18.0,Ki,nM,18.0
CHEMBL1744007,,CHEMBL62407,8.17,IC50,nM,6.761,Log IC50,,-8.17
CHEMBL311579,,CHEMBL311579,7.73,Ki,nM,18.8,Ki,nM,18.8
CHEMBL312692,,CHEMBL312692,7.98,Ki,nM,10.5,Ki,nM,10.5
CHEMBL308097,,CHEMBL308097,7.36,Ki,nM,43.4,Ki,nM,43.4
CHEMBL76849,,CHEMBL76849,8.15,Ki,nM,7.0,Ki,nM,7.0
CHEMBL309015,,CHEMBL309015,8.1,Ki,nM,8.0,Ki,nM,8.0
CHEMBL75860,,CHEMBL75860,7.66,Ki,nM,22.0,Ki,nM,22.0
CHEMBL276078,,CHEMBL276078,8.14,Ki,nM,7.16,Ki,nM,7.16
CHEMBL76547,,CHEMBL76547,8.41,Ki,nM,3.87,Ki,nM,3.87
CHEMBL110319,,CHEMBL110319,8.03,Ki,nM,9.4,Ki,nM,9.4
CHEMBL50465,,CHEMBL50465,8.49,Ki,nM,3.2,Ki,nM,3.2
CHEMBL141381,,CHEMBL141381,7.74,Ki,nM,18.4,Ki,nM,18.4
CHEMBL145296,,CHEMBL145296,8.1,Ki,nM,7.9,Ki,nM,7.9
CHEMBL54026,,CHEMBL54026,8.92,Ki,nM,1.2,Ki,nM,1.2
CHEMBL52440,DEXTROMETHORPHAN,CHEMBL52440,6.46,Ki,nM,348.0,Ki,nM,348.0
CHEMBL322468,,CHEMBL322468,7.18,Ki,nM,65.3,Ki,nM,65.3
CHEMBL143800,,CHEMBL143800,8.72,Ki,nM,1.91,Ki,nM,1.91
CHEMBL53078,,CHEMBL53078,8.96,Ki,nM,1.1,Ki,nM,1.1
CHEMBL54865,,CHEMBL54865,8.24,Ki,nM,5.8,Ki,nM,5.8
CHEMBL52835,,CHEMBL52835,7.24,Ki,nM,57.0,Ki,nM,57.0
CHEMBL146659,,CHEMBL146659,8.51,Ki,nM,3.1,Ki,nM,3.1
CHEMBL109124,,CHEMBL109124,6.86,Ki,nM,138.0,Ki,nM,138.0
CHEMBL52300,,CHEMBL52300,7.23,Ki,nM,59.0,Ki,nM,59.0
CHEMBL54667,,CHEMBL54667,8.32,Ki,nM,4.8,Ki,nM,4.8
CHEMBL298864,,CHEMBL298864,7.02,Ki,nM,96.0,Ki,nM,96.0
CHEMBL146659,,CHEMBL146659,7.29,Ki,nM,51.3,Ki,nM,51.3
CHEMBL54571,,CHEMBL54571,8.6,Ki,nM,2.5,Ki,nM,2.5
CHEMBL146659,,CHEMBL146659,7.52,Ki,nM,30.3,Ki,nM,30.3
CHEMBL298759,,CHEMBL298759,8.4,Ki,nM,4.0,Ki,nM,4.0
CHEMBL109124,,CHEMBL109124,6.84,Ki,nM,145.0,Ki,nM,145.0
CHEMBL53778,,CHEMBL53778,8.44,Ki,nM,3.6,Ki,nM,3.6
CHEMBL322468,,CHEMBL322468,8.49,Ki,nM,3.2,Ki,nM,3.2
CHEMBL298778,,CHEMBL298778,6.34,Ki,nM,456.0,Ki,nM,456.0
CHEMBL110319,,CHEMBL110319,7.63,Ki,nM,23.3,Ki,nM,23.3
CHEMBL141381,,CHEMBL141381,6.12,Ki,nM,759.3,Ki,nM,759.3
CHEMBL356639,,CHEMBL356639,8.79,Ki,nM,1.62,Ki,nM,1.62
CHEMBL358527,,CHEMBL358527,7.21,Ki,nM,62.3,Ki,nM,62.3
CHEMBL51959,,CHEMBL51959,8.25,Ki,nM,5.6,Ki,nM,5.6
CHEMBL53401,,CHEMBL53401,8.72,Ki,nM,1.9,Ki,nM,1.9
CHEMBL545668,,CHEMBL1194147,6.61,Ki,nM,245.0,Ki,nM,245.0
