action_type,molecule_chembl_id,parent_molecule_chembl_id
INVERSE AGONIST,CHEMBL305660,CHEMBL305660
INHIBITOR,CHEMBL56337,CHEMBL56337
INHIBITOR,CHEMBL19299,CHEMBL19299
INHIBITOR,CHEMBL4297522,CHEMBL4297522
ANTAGONIST,CHEMBL26,CHEMBL26
INHIBITOR,CHEMBL4297522,CHEMBL4297522
INHIBITOR,CHEMBL4297522,CHEMBL4297522
MODULATOR,CHEMBL954,CHEMBL954
INHIBITOR,CHEMBL123292,CHEMBL123292
BLOCKER,CHEMBL475534,CHEMBL475534
ANTAGONIST,CHEMBL4594444,CHEMBL4594444
ANTAGONIST,CHEMBL4594444,CHEMBL4594444
INHIBITOR,CHEMBL1651534,CHEMBL1651534
ANTAGONIST,CHEMBL595573,CHEMBL595573
ANTAGONIST,CHEMBL3353541,CHEMBL3353541
INHIBITOR,CHEMBL267648,CHEMBL267648
BLOCKER,CHEMBL4217292,CHEMBL4217292
ANTAGONIST,CHEMBL84158,CHEMBL84158
ANTAGONIST,CHEMBL84158,CHEMBL84158
INHIBITOR,CHEMBL267648,CHEMBL267648
,CHEMBL252556,CHEMBL252556
ANTAGONIST,CHEMBL56564,CHEMBL56564
DISRUPTING AGENT,CHEMBL1130,CHEMBL1130
DISRUPTING AGENT,CHEMBL1130,CHEMBL1130
INHIBITOR,CHEMBL1130,CHEMBL1130
INHIBITOR,CHEMBL163,CHEMBL163
INHIBITOR,CHEMBL8,CHEMBL8
,CHEMBL1200431,CHEMBL1200431
INHIBITOR,CHEMBL221886,CHEMBL221886
ANTAGONIST,CHEMBL3305901,CHEMBL3305901
INHIBITOR,CHEMBL20883,CHEMBL20883
ANTAGONIST,CHEMBL267044,CHEMBL267044
INHIBITOR,CHEMBL262777,CHEMBL262777
CROSS-LINKING AGENT,CHEMBL12948,CHEMBL12948
SEQUESTERING AGENT,CHEMBL577294,CHEMBL577294
ANTAGONIST,CHEMBL60889,CHEMBL60889
AGONIST,CHEMBL267044,CHEMBL267044
INHIBITOR,CHEMBL20883,CHEMBL20883
AGONIST,CHEMBL60889,CHEMBL60889
INHIBITOR,CHEMBL20883,CHEMBL20883
,CHEMBL508338,CHEMBL508338
BLOCKER,CHEMBL427216,CHEMBL427216
,CHEMBL1630578,CHEMBL1630578
INHIBITOR,CHEMBL42442,CHEMBL42442
POSITIVE ALLOSTERIC MODULATOR,CHEMBL4105630,CHEMBL4105630
INHIBITOR,CHEMBL395280,CHEMBL395280
INHIBITOR,CHEMBL42442,CHEMBL42442
INHIBITOR,CHEMBL1447,CHEMBL1447
BLOCKER,CHEMBL460291,CHEMBL460291
BINDING AGENT,CHEMBL37161,CHEMBL37161
BINDING AGENT,CHEMBL37161,CHEMBL37161
,CHEMBL689,CHEMBL689
AGONIST,CHEMBL121,CHEMBL121
INHIBITOR,CHEMBL428,CHEMBL428
INHIBITOR,CHEMBL428,CHEMBL428
DISRUPTING AGENT,CHEMBL1220,CHEMBL1220
ANTAGONIST,CHEMBL1628227,CHEMBL1628227
INHIBITOR,CHEMBL934,CHEMBL934
MODULATOR,CHEMBL81,CHEMBL81
