action_type,molecule_chembl_id,parent_molecule_chembl_id
AGONIST,CHEMBL1200845,CHEMBL1200845
AGONIST,CHEMBL632,CHEMBL632
AGONIST,CHEMBL389621,CHEMBL389621
AGONIST,CHEMBL1504,CHEMBL1504
AGONIST,CHEMBL1159650,CHEMBL1159650
AGONIST,CHEMBL1200600,CHEMBL1200600
AGONIST,CHEMBL131,CHEMBL131
AGONIST,CHEMBL1512,CHEMBL1512
AGONIST,CHEMBL1200545,CHEMBL1200545
AGONIST,CHEMBL650,CHEMBL650
AGONIST,CHEMBL1451,CHEMBL1451
AGONIST,CHEMBL1501,CHEMBL1501
AGONIST,CHEMBL1766,CHEMBL1766
AGONIST,CHEMBL989,CHEMBL989
AGONIST,CHEMBL1370,CHEMBL1370
AGONIST,CHEMBL384467,CHEMBL384467
AGONIST,CHEMBL1650,CHEMBL1650
AGONIST,CHEMBL1201012,CHEMBL1201012
ANTAGONIST,CHEMBL1276308,CHEMBL1276308
INHIBITOR,CHEMBL1460,CHEMBL1460
INHIBITOR,CHEMBL129,CHEMBL129
INHIBITOR,CHEMBL57,CHEMBL57
INHIBITOR,CHEMBL991,CHEMBL991
INHIBITOR,CHEMBL141,CHEMBL141
INHIBITOR,CHEMBL972,CHEMBL972
INHIBITOR,CHEMBL404271,CHEMBL404271
AGONIST,CHEMBL1405,CHEMBL1405
AGONIST,CHEMBL135,CHEMBL135
AGONIST,CHEMBL691,CHEMBL691
AGONIST,CHEMBL1201151,CHEMBL1201151
AGONIST,CHEMBL411,CHEMBL411
BLOCKER,CHEMBL1200396,CHEMBL1098
INHIBITOR,CHEMBL404271,CHEMBL404271
INHIBITOR,CHEMBL1113,CHEMBL1113
INHIBITOR,CHEMBL1200492,CHEMBL623
PARTIAL AGONIST,CHEMBL18442,CHEMBL18442
INHIBITOR,CHEMBL20,CHEMBL20
OTHER,CHEMBL1372,CHEMBL1372
INHIBITOR,CHEMBL513,CHEMBL513
INHIBITOR,CHEMBL20,CHEMBL20
INHIBITOR,CHEMBL1200699,CHEMBL1433
OPENER,CHEMBL1371,CHEMBL1371
INHIBITOR,CHEMBL1463,CHEMBL1463
INHIBITOR,CHEMBL1200699,CHEMBL1433
INHIBITOR,CHEMBL1200699,CHEMBL1433
OPENER,CHEMBL181,CHEMBL181
OPENER,CHEMBL294199,CHEMBL294199
INHIBITOR,CHEMBL1200699,CHEMBL1433
INHIBITOR,CHEMBL566534,CHEMBL566534
INHIBITOR,CHEMBL1643,CHEMBL1643
AGONIST,CHEMBL1201139,CHEMBL1201139
AGONIST,CHEMBL1201146,CHEMBL1201146
AGONIST,CHEMBL717,CHEMBL717
AGONIST,CHEMBL1162,CHEMBL1162
AGONIST,CHEMBL103,CHEMBL103
AGONIST,CHEMBL2107797,CHEMBL2107797
AGONIST,CHEMBL1200624,CHEMBL1200624
ANTAGONIST,CHEMBL1276308,CHEMBL1276308
AGONIST,CHEMBL1479,CHEMBL1479
INHIBITOR,CHEMBL832,CHEMBL832
INHIBITOR,CHEMBL897,CHEMBL897
INHIBITOR,CHEMBL897,CHEMBL897
INHIBITOR,CHEMBL897,CHEMBL897
AGONIST,CHEMBL3,CHEMBL3
INHIBITOR,CHEMBL503,CHEMBL503
INHIBITOR,CHEMBL1064,CHEMBL1064
INHIBITOR,CHEMBL1752,CHEMBL1752
INHIBITOR,CHEMBL1355736,CHEMBL190
INHIBITOR,CHEMBL1370561,CHEMBL190
INHIBITOR,CHEMBL1503,CHEMBL1503
INHIBITOR,CHEMBL480,CHEMBL480
ANTAGONIST,CHEMBL19019,CHEMBL19019
INHIBITOR,CHEMBL428647,CHEMBL428647
INHIBITOR,CHEMBL3545252,CHEMBL92
INHIBITOR,CHEMBL107,CHEMBL107
ANTAGONIST,CHEMBL723,CHEMBL723
INHIBITOR,CHEMBL1370561,CHEMBL190
INHIBITOR,CHEMBL1355736,CHEMBL190
AGONIST,CHEMBL1218,CHEMBL1218
AGONIST,CHEMBL2106195,CHEMBL778
AGONIST,CHEMBL1705,CHEMBL134
AGONIST,CHEMBL134,CHEMBL134
AGONIST,CHEMBL459,CHEMBL459
